119×13 DataFrame
 Row │ name        nvar    ncon   status       objective         elapsed_time   iter    primal_feas  dual_feas        neval_obj  neval_grad  neval_hprod  neval_hess
     │ String      Int64   Int64  Symbol       Float64           Float64        Int64   Float64      Float64          Int64      Int64       Int64        Int64
─────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  88 │ OSCIGRAD    100000      0  first_order       1.36437e-8      4.8106          11          0.0      1.5762              11          11           95           0
  89 │ FLETCHBV      5000      0  max_time         -3.52804e16   1200.0          51802          0.0      3.36255e9        51802       51802       465217           0
  90 │ QING           100      0  first_order       7.43016e-19     0.0190361       25          0.0      1.53966e-8          25          19          248           0
  91 │ ARGLINB        200      0  first_order      99.6255          0.00223088       2          0.0     12.6796               2           2            2           0
  92 │ DIXMAANF      3000      0  first_order       1.0             0.545097        14          0.0      1.57766e-7          14          14          496           0
  93 │ BA-L16LS     66462      0  max_time          1.89803e7    3603.17            15          0.0      1.12543e8           15          15         3556           0
  94 │ MOREBV        5000      0  first_order       1.13916e-11     4.42493          3          0.0      1.62755e-8           3           3         3591           0
  95 │ NONDIA        5000      0  first_order       0.00025697      0.0147419        3          0.0      0.0130846            3           3            4           0
  96 │ MSQRTBLS      1024      0  first_order       8.28041e-15    26.3576          30          0.0      1.20466e-6          30          24         7997           0
  97 │ BROWNAL        200      0  first_order       1.55835e-8      0.003021         3          0.0      0.000769897          3           3            4           0
  98 │ SCURLY10     10000      0  first_order       5.22652e20      1.52819         17          0.0      4.5829e21           17          17          391           0
  99 │ TQUARTIC      5000      0  first_order       7.73801e-24     0.067117        13          0.0      3.69048e-10         13          13           31           0
 100 │ EXTROSNB      1000      0  first_order       5.73414e-6      6.50984        292          0.0      0.000292271        292         202         2428           0
 101 │ YATP2LS     123200      0  first_order       3.66422e-20    16.9809          32          0.0      1.54239e-9          32          29           81           0
 102 │ ENGVAL1       5000      0  first_order    5548.67            0.0819709        9          0.0      8.90383e-6           9           9           34           0
 103 │ LUKSAN15LS     100      0  first_order       3.5697          0.0641549       10          0.0      1.21925e-7          10           9           58           0
 104 │ DIXMAANG      3000      0  first_order       1.0             0.887581        22          0.0      1.81189e-7          22          17          832           0
 105 │ DIXMAANK      3000      0  first_order       1.0             1.43432         31          0.0      3.52483e-5          31          31         1344           0
 106 │ QUARTC        5000      0  first_order       3.38479e6       0.150401        17          0.0  47188.8                 17          17          117           0
 107 │ EDENSCH       2000      0  first_order   12003.3             0.063369        12          0.0      4.53942e-5          12          12           46           0
 108 │ YATP1CLS    123200      0  first_order       1.3378e-6       6.78063          9          0.0      0.0770952            9           8           21           0
 109 │ SSBRYBND      5000      0  first_order       9.3804e-10     83.4755          13          0.0      0.000156221         13          13        32007           0
 110 │ CRAGGLVY      5000      0  first_order    1688.22            0.410048        14          0.0      0.000551601         14          14          133           0
 111 │ SPARSQUR     10000      0  first_order       7.64362e-5      0.839409        17          0.0      0.00439375          17          17          129           0
 112 │ NCB20B        5000      0  first_order    7351.3           362.051         1972          0.0      7.64524e-7        1972        1964        18078           0
 113 │ BA-L52LS    192627      0  max_time          2.47175e9    1217.76            46          0.0      2.09355e9           46          46          230           0
 114 │ SINQUAD       5000      0  first_order      -6.75701e6       0.360454        32          0.0      2.37419e-7          32          28           96           0
 115 │ EG2           1000      0  first_order    -998.947           0.0585079        4          0.0      5.90209e-9           4           4            6           0
 116 │ DIXMAANL      3000      0  first_order       1.0             1.2185          32          0.0      5.61079e-5          32          32         1123           0
 117 │ GENROSE        500      0  first_order       1.0             2.66708       1904          0.0      3.60094e-8        1904        1311        14143           0
 118 │ TESTQUAD      5000      0  first_order       0.000765294     0.676567         5          0.0      0.248623             5           5          780           0
 119 │ EIGENBLS      2550      0  max_time          8.34585e-5   1204.9           1138          0.0      0.0061449         1138        1069        59281           0
