119×13 DataFrame
 Row │ name        nvar    ncon   status       objective         elapsed_time   iter    primal_feas  dual_feas        neval_obj  neval_grad  neval_hprod  neval_hess
     │ String      Int64   Int64  Symbol       Float64           Float64        Int64   Float64      Float64          Int64      Int64       Int64        Int64
─────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 105 │ DIXMAANK      3000      0  first_order       1.0             1.38332         28          0.0      1.37481e-5          99          26         1663           0
 106 │ QUARTC        5000      0  first_order       8.58308e6       0.0776639       29          0.0  83974.4                 30          30          109           0
 107 │ EDENSCH       2000      0  first_order   12003.3             0.0476198       13          0.0      1.5812e-5           14          14           45           0
 108 │ YATP1CLS    123200      0  first_order       1.07181e-7     10.5072          13          0.0      0.108937            23          14           31           0
 109 │ SSBRYBND      5000      0  first_order       1.13239e-17   331.444         5639          0.0      1.37127e-6       22946        5514       159564           0
 110 │ CRAGGLVY      5000      0  first_order    1688.22            0.251282        13          0.0      0.00228885          14          14           97           0
 111 │ SPARSQUR     10000      0  first_order       8.81116e-5      0.321348        16          0.0      0.00459334          17          17           64           0
 112 │ NCB20B        5000      0  first_order    7351.3            24.6814          19          0.0      1.13522e-6          77          18         1381           0
 113 │ BA-L52LS    192627      0  max_time          2.1674e8     1263.14            12          0.0      1.21356e9           49          11          274           0
 114 │ SINQUAD       5000      0  not_desc         -6.75701e6       2.73646        325          0.0      6.6513e-5          358         636          663           0
 115 │ EG2           1000      0  first_order    -998.947           0.00371099       3          0.0      5.95841e-9           4           4            6           0
 116 │ DIXMAANL      3000      0  first_order       1.0             0.838139        25          0.0      2.58762e-5          80          23          974           0
 117 │ GENROSE        500      0  first_order       1.0             0.34596        251          0.0      1.14829e-6         922         250         2546           0
 118 │ TESTQUAD      5000      0  first_order       0.000299609     0.450258         7          0.0      0.16747              8           8         1025           0
 119 │ EIGENBLS      2550      0  max_time          0.000258285  1227.22           122          0.0      0.0509355          470         122        62896           0
