119×13 DataFrame
 Row │ name        nvar    ncon   status       objective         elapsed_time  iter   primal_feas  dual_feas        neval_obj  neval_grad  neval_hprod  neval_hess
     │ String      Int64   Int64  Symbol       Float64           Float64       Int64  Float64      Float64          Int64      Int64       Int64        Int64
─────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  74 │ FLETCBV3      5000      0  max_iter         -8.24487e6         165.44    3000          0.0      0.7503            3001        3002            0        3000
  75 │ KSSLS         1000      0  first_order       6.24062e-8        261.509      7          0.0      0.015768             8           9            0           7
  76 │ CHAINWOO      4000      0  first_order       1.0                 6.555    233          0.0      2.80517e-8         846         235            0         233
  77 │ LUKSAN11LS     100      0  first_order       3.76147e-26         0.534    334          0.0      3.87512e-12        624         336            0         334
  78 │ LUKSAN16LS     100      0  first_order       3.5697              0.023      6          0.0      1.21855e-8          12           8            0           6
  79 │ DIXMAANP      3000      0  first_order       1.0                 0.693     28          0.0      7.77242e-10         29          30            0          28
  80 │ COATING        134      0  first_order       0.505499            0.084     26          0.0      1.38444e-7          48          28            0          26
  81 │ FLETCHCR      1000      0  first_order       4.83217e-25        10.768   1474          0.0      1.24458e-11       2485        1476            0        1474
  82 │ FMINSURF      5625      0  max_time          0.0               395.266     52          0.0      0.00962299         549          54            0          52
  83 │ MSQRTALS      1024      0  first_order       4.22372e-16         5.787     24          0.0      4.66189e-10         43          26            0          24
  84 │ CURLY10      10000      0  first_order      -1.00316e6           2.461     22          0.0      9.24399e-13         23          24            0          22
  85 │ ARGTRIGLS      200      0  first_order       5.97767e-26         0.816      5          0.0      1.33014e-11          6           7            0           5
  86 │ BOXPOWER     20000      0  first_order       2.17767e-7          1.702     14          0.0      9.37828e-6          15          16            0          14
  87 │ DQDRTIC       5000      0  first_order       1.98102e-25         0.026      1          0.0      1.78524e-13          2           3            0           1
  88 │ OSCIGRAD    100000      0  first_order       7.14147e-13         6.124      9          0.0      0.0073652           10          11            0           9
  89 │ FLETCHBV      5000      0  max_iter         -8.24568e14        166.054   3000          0.0      7.50301e7         3001        3002            0        3000
  90 │ QING           100      0  first_order       4.32256e-27         0.031     13          0.0      5.59843e-13         34          15            0          13
  91 │ ARGLINB        200      0  first_order      99.6255              0.911      2          0.0      0.00101794           3           4            0           2
  92 │ DIXMAANF      3000      0  first_order       1.0                 0.463     19          0.0      7.78916e-13         20          21            0          19
  93 │ BA-L16LS     66462      0  first_order       8.48693e5         409.665     89          0.0      0.0525792          122          91            0          89
  94 │ MOREBV        5000      0  first_order       5.83393e-15         0.05       1          0.0      7.60217e-14          2           3            0           1
  95 │ NONDIA        5000      0  first_order       5.22613e-13         0.254      7          0.0      4.48687e-6           8           9            0           7
  96 │ MSQRTBLS      1024      0  first_order       1.36518e-21         5.924     24          0.0      8.70689e-11         50          26            0          24
  97 │ BROWNAL        200      0  first_order       1.09517e-21         0.715      5          0.0      1.33154e-10          6           7            0           5
  98 │ SCURLY10     10000      0  first_order      -1.00316e6          12.292     92          0.0      0.838014           120          94            0          92
  99 │ TQUARTIC      5000      0  first_order       2.15327e-22         0.058      1          0.0      2.93481e-11          2           3            0           1
 100 │ EXTROSNB      1000      0  max_iter          1.05342e-9         24.25    3000          0.0      2.2733e-6         8101        3002            0        3000
 101 │ YATP2LS     123200      0  unknown           7.67267e9          71.612      0          0.0   2147.79                 1           2            0           1
 102 │ ENGVAL1       5000      0  first_order    5548.67                0.26       8          0.0      1.32516e-12          9          10            0           8
 103 │ LUKSAN15LS     100      0  first_order       3.5697              0.052      9          0.0      1.02909e-8          27          11            0           9
 104 │ DIXMAANG      3000      0  first_order       1.0                 0.397     16          0.0      2.56554e-13         17          18            0          16
 105 │ DIXMAANK      3000      0  first_order       1.0                 0.622     24          0.0      6.38662e-11         37          26            0          24
 106 │ QUARTC        5000      0  first_order      39.3573              0.496     23          0.0      0.353377            24          25            0          23
 107 │ EDENSCH       2000      0  first_order   12003.3                 0.185     12          0.0      1.52992e-10         13          14            0          12
 108 │ YATP1CLS    123200      0  unknown           2.54037e9          32.322      0          0.0      6.08876e5            1           2            0           1
 109 │ SSBRYBND      5000      0  first_order       3.62772e-14         0.744     24          0.0      5.52022e-7          33          26            0          24
 110 │ CRAGGLVY      5000      0  first_order    1688.22                0.496     14          0.0      9.20199e-9          15          16            0          14
 111 │ SPARSQUR     10000      0  first_order       5.82331e-7         54.588     19          0.0      2.92583e-6          20          21            0          19
 112 │ NCB20B        5000      0  first_order    7351.3                 2.575     16          0.0      4.79226e-11         29          18            0          16
 113 │ BA-L52LS    192627      0  max_time          0.0               915.344     41          0.0      2.39587e6           64          43            0          41
 114 │ SINQUAD       5000      0  first_order      -6.75701e6           1.921     34          0.0      1.32013e-9         199          36            0          34
 115 │ EG2           1000      0  first_order    -998.947               0.064      4          0.0      7.34972e-14          5           6            0           4
 116 │ DIXMAANL      3000      0  first_order       1.0                 0.676     27          0.0      1.1844e-9           28          29            0          27
 117 │ GENROSE        500      0  first_order       1.0                 2.585    393          0.0      3.12195e-13       1241         395            0         393
 118 │ TESTQUAD      5000      0  first_order       3.08149e-26         0.028      1          0.0      5.55116e-11          2           3            0           1
 119 │ EIGENBLS      2550      0  max_time          0.0               568.333    412          0.0      0.000240195       1144         414            0         412
